Title,Filename,Slug,Summary,Issue,Jurisdiction,Hero Image,Status,Read Time,Last Modified
Mishandling - A Suspended Prison Sentence,a-suspended-prison-sentence.md,a-suspended-prison-sentence,"""An executor sold his mother's house, pocketed the proceeds, and ignored his niece and nephew for three years — until a judge threatened prison.""",Mishandling,UK,/images/stories/a-suspended-prison-sentence.png,published,7 min read,2026-01-07 14:57:27
Disobedience - Brother-in-Law Did Nothing,brother-in-law-did-nothing.md,brother-in-law-did-nothing.,"""A domestic partner waited years for an executor who refused to act, respond, or cooperate.""",Disobedience,Australia,/images/stories/his-brother-did-nothing.png,published,5 min read,2026-01-07 14:57:27
Diligence - He Did the Work,diligence-he-did-the-work.md,diligence-he-did-the-work,The estate looked simple on paper. It wasn't. But the executor didn't cut corners — and that made all the difference.,Diligence,Australia,/images/stories/diligence-he-did-the-work.png,published,5 min read,2026-01-07 14:57:27
Disobedience - His Brother Did Nothing,disobedience.md,disobedience-his-brother-did-nothing,A woman's partner died and left everything to her. His brother was executor — and refused to act.,Disobedience,Australia,,published,,2026-01-07 14:57:27
"""Five Siblings, One Executor, A Decade of Conflict""",five-siblings-one-executor.md,five-siblings-one-executor,"""When homemade wills were discovered years after their parents died, one brother became executor of both estates. What followed was more than a decade of delays, disputes, and a court battle that tore the family apart.""",Executor Conflict,UK,/images/stories/five-siblings-one-executor.png,published,10 min read,2026-01-09 17:01:51
Incapacity - The Executor Couldn't Act,incapacity-the-executor-couldnt-act.md,incapacity-the-executor-couldnt-act,"""A husband died and left everything to his wife. But by then, she had dementia — and couldn't act as executor. Their son had to ask the court to step in.""",Incapacity,Australia,/images/stories/incapacity-the-executor-couldnt-act.png,published,5 min read,2026-01-07 14:57:27
Misappropriation - Mother Took It All,mother-took-it-all.md,mother-took-it-all,A mother and grandfather were trusted to hold an inheritance for two young women. They spent every penny.,Misappropriation,UK,/images/stories/mother-took-it-all.png,published,6 min read,2026-01-07 14:57:27
Non-Compliance - The Court Threw It Out,non-compliance.md,non-compliance-the-court-threw-it-out,Her sons helped write her will. They also witnessed it. The court declared the entire document invalid.,Non-Compliance,Australia,,published,,2026-01-07 14:57:27
Public Trustee — They Were Meant to Protect Her,public-trustee-they-were-meant-to-protect-her.md,public-trustee-they-were-meant-to-protect-her,"""A government body was appointed to protect Margaret's finances. Instead, fees slowly consumed her estate while her family watched helplessly.""",Institutional Failure,AU,/images/stories/public-trustee.png,published,6 min read,2026-01-07 14:57:27
Preparation — The Blended Family That Didn't Fight,the-blended-family-that-didnt-fight.md,the-blended-family-that-didnt-fight,"""Four kids from two marriages, a family home, and decades of accumulated tension. This estate had every ingredient for disaster. Instead, it settled in five months with zero disputes.""",Preparation,Australia,,published,5 min read,2026-01-07 14:57:27
Humility — The Brother Who Stepped Back,the-brother-who-stepped-back.md,the-brother-who-stepped-back,"""Named as executor because he was the eldest son, Michael realised he was the wrong person for the job. What he did next saved his family.""",Humility,New Zealand,,published,4 min read,2026-01-07 14:57:27
Non-Compliance - The $30 DIY Will Thrown Out,the-court-threw-it-out.md,the-court-threw-it-out,A DIY will kit from eBay excluded two daughters — but the court refused to accept it.,Non-Compliance,Australia,/images/stories/the-court-threw-it-out.png,published,6 min read,2026-01-07 14:57:27
Conflict - The Excavator and the Auction,the-excavator-and-the-auction.md,the-excavator-and-the-auction,Two brothers flew across Australia to demolish their mother's house the day before it sold — just to spite their sister.,Conflict,Australia,/images/stories/the-excavator-and-the-auction.png,published,6 min read,2026-01-07 14:57:27
Obstruction - The House Sat Empty,the-house-sat-empty.md,the-house-sat-empty,"""A daughter was appointed executor of her mother's estate. Three and a half years later, nothing had been done — and the court removed her.""",Obstruction,Australia,/images/stories/the-house-sat-empty.png,published,4 min read,2026-01-07 14:57:27
Transparency - She Kept Everyone Informed,transparency-she-kept-everyone-informed.md,transparency-she-kept-everyone-informed,"""When their father died, three adult children faced the task of winding up a complicated estate. The eldest sister was executor — and she got it right.""",Transparency,Australia,/images/stories/transparency-she-kept-everyone-informed.png,published,5 min read,2026-01-07 14:57:27
